word,count
的,34347
이,26953
.,25078
翻譯,23513
!,20775
，,19774
！,18061
다,17562
서,17195
고,16918
我,16239
/,16227
는,15714
",",15387
、,14166
가,13494
하,13061
て,12570
了,12460
),12183
-,12039
지,11991
い,11951
아,11632
有,11576
어,11513
에,11470
の,11437
도,11362
나,11303
(,11028
し,10310
た,10199
（,9902
SEVENTEEN,9674
是,9539
ㅋ,9508
っ,9306
들,9219
）,8992
니,8920
콘,8853
な,8755
트,8509
で,8415
：,8369
都,8285
요,8002
。,7893
?,7843
に,7841
會,7836
로,7824
ン,7756
해,7739
:,7730
기,7725
1,7513
_,7478
리,7425
可以,7286
시,7207
在,7009
…,6817
か,6649
ん,6639
만,6585
게,6553
😭,6533
데,6513
と,6487
한,6366
은,6227
ー,6194
사,6129
세,6002
보,5961
～,5868
을,5803
라,5801
？,5783
주,5773
る,5635
ま,5606
일,5599
也,5584
n,5522
스,5509
す,5465
~,5464
2,5463
🥹,5431
チ,5369
@,5300
が,5262
も,5227
到,5222
i,5185
인,5072
ㅠ,5066
오,5033
무,5030
セ,5028
그,5022
있,4977
ブ,4926
く,4886
자,4836
ら,4740
克拉,4610
大家,4605
好,4602
..,4594
c,4588
으,4571
거,4528
🏻,4475
は,4416
',4400
the,4395
정,4322
t,4297
買,4254
來,4235
人,4227
—,4192
*,4190
면,4179
就,4155
$,4135
내,4134
不,4081
틴,4070
I,4054
要,3991
だ,3977
m,3962
7,3930
마,3885
💎,3881
드,3822
대,3797
り,3779
븐,3778
你,3738
真的,3724
너,3707
う,3668
+,3662
구,3647
應援,3645
캐,3643
우,3632
진,3630
야,3617
れ,3610
의,3588
to,3557
後,3556
수,3520
3,3516
ng,3497
很,3489
✨,3443
演唱,3429
부,3420
까,3419
想,3389
đ,3388
け,3315
a,3314
沒,3304
제,3281
...,3277
跟,3276
장,3270
분,3267
안,3235
去,3141
嗎,3136
음,3131
à,3063
럿,3050
但,3045
🩵,3041
in,3039
🫶,3007
🩷,3005
き,2997
concert,2972
했,2971
여,2962
お,2951
さ,2895
and,2884
ち,2862
전,2860
공,2826
s,2823
’,2785
Seventeen,2751
6,2749
ス,2734
こ,2730
원,2724
5,2722
17,2722
를,2720
간,2689
4,2618
10,2609
랑,2597
看,2590
•,2544
소,2544
었,2538
생,2534
ト,2531
說,2495
回覆,2489
nh,2481
を,2474
려,2472
請,2464
미,2461
좋,2439
래,2428
[,2391
더,2389
],2368
티,2361
時間,2360
#seventeen,2358
為,2345
🤣,2332
⋯,2317
あ,2297
自己,2296
같,2288
모,2286
신,2280
よ,2280
seventeen,2255
상,2255
希望,2230
ど,2221
11,2216
번,2211
卡,2142
말,2131
13,2126
イ,2122
예,2117
없,2109
」,2102
of,2099
비,2088
尚無,2084
ゃ,2083
動態,2082
卡冊,2078
「,2076
디,2076
再,2067
저,2063
중,2058
와,2056
20,2048
😍,2040
查看,2033
係,2015
#세븐틴,2002
버,1984
l,1981
연,1979
小卡,1968
ッ,1956
上,1950
많,1915
러,1911
個,1906
們,1896
행,1893
할,1891
♡,1884
짜,1863
一起,1851
·,1848
영,1846
❤️,1840
有人,1839
for,1838
┈,1837
눔,1837
ル,1821
때,1815
늘,1809
9,1802
🙏,1800
留言,1793
